"gid","featurecla","name","namealt","region","subregion","min_label","max_label","scalerank","label","wikidataid","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh","ne_id","name_fa","name_he","name_uk","name_ur","name_zht","geom"
1014,"Island group","QUEEN ELIZABETH ISLANDS",NULL,"North America","Arctic Archipelago","3.5","7",2,NULL,"Q216533","جزر كوين إليزابيث","ক্যুইন এলিজাবেথ আইল্যান্ডস","Königin-Elisabeth-Inseln","Queen Elizabeth Islands","Islas de la Reina Isabel","Îles de la Reine-Élisabeth","ΝΗΣΟΙ ΤΗΣ ΒΑΣΙΛΙΣΣΑΣ ΕΛΙΣΑΒΕΤ","क्वीन एलिजाबेथ द्वीप","Parry-szigetek","Kepulauan Ratu Elizabeth","Isole Regina Elisabetta","クイーンエリザベス諸島","퀸엘리자베스 제도","Koningin Elizabetheilanden","Wyspy Królowej Elżbiety","Ilhas da Rainha Isabel","Острова Королевы Елизаветы","Queen Elizabeth Islands","Kraliçe Elizabet Adaları","Quần đảo Nữ hoàng Elizabeth","伊丽莎白女王群岛","1159104149","جزایر ملکه الیزابت","איי המלכה אליזבת","Острови Королеви Єлизавети","کوئین الیزبتھ جزائر","伊丽莎白女王群岛","0106000020E610000001000000010300000001000000290000004C7D7CD3C6A553C030E1E71A3DE452404E7D7CD393D853C032E1E71A1F9D52404A7D7CD38F4154C032E1E71A2F8C52404C7D7CD337FF54C032E1E71A2F8C52404A7D7CD3BCDE55C032E1E71A2F8C52404C7D7CD35F6F56C036E1E71AF08B52404E7D7CD3E5C856C034E1E71AF89452404C7D7CD3566F57C032E1E71AA8A85240487D7CD328C257C034E1E71A9A9A52404A7D7CD3906658C032E1E71A7B9D52404D7D7CD330CB58C032E1E71A1F9D52404B7D7CD3D78859C032E1E71A1F9D52404D7D7CD35C685AC034E1E71A59965240141D1D2492D35AC092C9D6F1419152404E7D7CD3E92B5BC032E1E71A108D52404B55C8E9060F5CC0ACDC24F0F97F52404D7D7CD3F9605CC034E1E71A417B52404A7D7CD3AE765DC030E1E71A0DAE52404A7D7CD3EF995EC030E1E71A25C952404C7D7CD371E45EC034E1E71A2CF552404E7D7CD3FFD55EC030E1E71A752E534069E2258D4B955EC0F87B0AED683D53404D925A9AEEED5DC0A00187EB15645340497D7CD3FDF75BC036E1E71A14D853404A7D7CD3167E57C030E1E71A118C54404C7D7CD3F97054C036E1E71A3DE05440487D7CD3E88751C030E1E71A77D954409CFAF8A693894EC032E1E71A36B454409CFAF8A663534EC036E1E71A0993544094FAF8A6ABA44EC030E1E71A077E544098FAF8A69BB34FC036E1E71A526654404C7D7CD3033C50C034E1E71A3A4B54404C7D7CD393DE50C036E1E71ABF2C544078DA4311FE1251C0F89B2CE4C31654404A7D7CD38F4751C032E1E71AB800544066D86E8C656B51C03801BB601EF853404C7D7CD38F4552C034E1E71AC2C353404A7D7CD3E88552C036E1E71A599453404E7D7CD3554A53C032E1E71A9D5053404C7D7CD3B84D53C032E1E71A6D1A53404C7D7CD3C6A553C030E1E71A3DE45240"
897,"Island group","Lau Group",NULL,"Oceania","Melanesia","6","11",6,NULL,"Q1062438","مجموعة جزر لاو","লাউ গ্রুপ","Lau-Inseln","Lau Group","Grupo Lau","Province de Lau","Σύμπλεγμα Νήσων Λάου","लाउ ग्रुप","Lau-szigetcsoport","Kepulauan Lau","Isole Lau","ラウ諸島","라우 그룹","Lau Group","Wyspy Lau","Lau","острова Лау","Lauöarna","Lau Takımadaları","Quần đảo Lau","拉乌群岛","1730070673","گروه جزایر لائو","איי לאו","Лау","لاو گروپ","勞省","0106000020E6100000010000000103000000010000001800000059C14116FB7F66403C7B60944B6D32C059C14116FB7F66402C7B6094D37033C05BC14116FE7C6640347B6094B36533C05BC14116FA796640307B6094635633C05BC1411697766640307B60944B3F33C05DC14116D4756640347B6094F33733C05BC141163C756640307B6094AB2F33C05DC14116CF7466403C7B6094932633C057C14116867466402C7B6094CB1C33C05DC1411660746640307B60946B1233C05BC141166E746640307B609453FC32C05DC14116DD746640387B609443E532C05BC1411673766640307B6094EBB732C059C1411652786640447B6094D39132C05BC14116407966403C7B6094138432C059C14116357A66403C7B6094EB7932C059C14116B27A66403C7B6094037632C05BC14116317B6640387B6094DB7232C05BC14116B17B6640347B6094637032C059C14116347C6640307B60947B6E32C059C14116B77C6640307B6094236D32C05DC141163D7D66403C7B60944B6C32C05DC14116507E6640387B6094D36B32C059C14116FB7F66403C7B60944B6D32C0"
1007,"Island group","LESSER ANTILLES",NULL,"North America","West Indies","4","7",3,NULL,"Q93259","جزر الأنتيل الصغرى","লেসাএ অ্যান্টিলিস","Kleine Antillen","Lesser Antilles","Antillas Menores","Petites Antilles","Μικρές Αντίλλες","लेसर एंटीलेस","Kis-Antillák","Antillen Kecil","Piccole Antille","小アンティル諸島","소앤틸리스 제도","Kleine Antillen","Małe Antyle","Pequenas Antilhas","Малые Антильские острова","Små Antillerna","Küçük Antiller","Tiểu Antilles","小安的列斯群岛","1159103873","آنتیل کوچک","האנטילים הקטנים","Малі Антильські острови","انٹیلیز اصغر","小安的列斯群岛","0106000020E6100000010000000103000000010000003C00000098FAF8A65BA04DC0B0093FD718D529409CFAF8A697D04DC090093FD728D727409CFAF8A6F1184EC0A0093FD74855264098FAF8A675474EC088093FD7389B254094FAF8A6DB5D4EC0A8093FD76057244058F0FC61FC774EC0A0322FEBDDEE234094FAF8A6957E4EC0A8093FD778D4234090FAF8A60FA84EC0A8093FD718CB23405014570E75B04EC0A070B774AEEC23409CFAF8A6AFBA4EC0A0093FD79815244098FAF8A643E84EC080093FD750F423404814258D2FEB4EC0201F2073D9F9234098FAF8A61D004FC00085BA527E2124409CFAF8A623084FC098093FD7B030244010327EA2EC074FC0905D44A0F654244098FAF8A641074FC080093FD7B0C524401053FB1E64DE4EC0104AA36F2D82254098FAF8A663D24EC0B0093FD788B92540008A62FAE0E34EC0E05A3682FEC9254094FAF8A6F70B4FC0A0093FD7B8EF25409CFAF8A6499F4FC0A0093FD7C8B225409CFAF8A68DDA4FC0B0093FD7E890254094FAF8A6BBEB4FC0A8093FD7387925402C1CB90199F34FC048833E6CC359254094FAF8A637F44FC0A8093FD748572540E866F7838CF64FC0D8DA4EB7135925408C9C44DD281350C058977FACCD7D25404A7D7CD3C31650C088093FD7588325404E7D7CD38F4950C0A0093FD7685E25404A7D7CD3967550C0A0093FD7C8B22540ACDECA9EC28E50C07824F7264EE02540201BDC8A5EA750C030740C47CF0C26404E7D7CD369F750C080093FD7909D26404E7D7CD3144C51C088093FD730522740526FA38F1A6551C010154A86B21328404C7D7CD3F26D51C080093FD7185828404E7D7CD32A8A51C0A0093FD760A928400C22627C7A8E51C0907B87017DE42840487D7CD3F99951C0A0093FD7208229404C7D7CD3CF7D51C090093FD7A8F029404C7D7CD3B5D650C080093FD7B82F294094FAF8A60FAC4FC088093FD7588A284098FAF8A6910D4FC098093FD788B929409CFAF8A671D64EC098093FD730862C4090FAF8A6B3444FC0C0849F6B786330409CFAF8A663974FC0D0849F6BF40131409CFAF8A6BDDF4FC0D8849F6B682431404A7D7CD3E32D50C0C8849F6B506931404C7D7CD3474450C0C8849F6BE4C231404448362BC94250C050FF6E399646324002E09600354250C030F13359947932404E7D7CD3D64050C0D0849F6B18F232404E7D7CD38D2350C0D0849F6B3829334098FAF8A627674FC0D8849F6B8098324094FAF8A68DCF4EC0C0849F6B20F3314094FAF8A66B794EC0C0849F6BDC46314098FAF8A647234EC0C8849F6B3C3330409CFAF8A697D04DC0B0093FD720472D4090FAF8A677994DC098093FD710122B4098FAF8A65BA04DC0B0093FD718D52940"
869,"Island","Aitutaki",NULL,"Oceania","Polynesia","6","11",6,"Aitutaki","Q223379","أيتوتاكي","আইতোটাকি","Aitutaki","Aitutaki","Aitutaki","Aitutaki","Αϊτουτάκι","एतुताकी","Aitutaki","Aitutaki","Aitutaki","アイツタキ島","아이투타키","Aitutaki","Aitutaki","Aitutaki","Аитутаки","Aitutaki","Aitutaki","Aitutaki","阿伊圖塔基島","1159102463","آیتوتاکی","אייטוטקי","Аітутакі","ایتوتاکی","阿伊圖塔基島","0106000020E61000000200000001030000000100000004000000520EBF6B47F963C0908F51843BEB32C0A63EBE6947F963C0447B60943BEB32C0A43EBE6D47F963C0447B60943BEB32C0520EBF6B47F963C0908F51843BEB32C001030000000100000005000000520EBF6B47F963C0908F51843BEB32C0A43EBE6D26FB63C0207B60943BDC32C0A43EBE6D47F963C0407B60944BCD32C0A63EBEED69F763C0207B60943BDC32C0520EBF6B47F963C0908F51843BEB32C0"
795,"Range/mtn","Ford Ranges",NULL,"Antarctica",NULL,"5.3","9",4,"Ford Ranges","Q4529916","سلسلة جبال فورد","ফোর্ড রেঞ্জেস","Ford Ranges","Ford Ranges","Cordilleras Ford","Ford Ranges","Οροσειρές Φορντ","फ़ोर्ड रेंज","Ford-hegység","Pegunungan Ford","Catene Ford","フォード山脈","포드 레인지스","Ford Ranges","Góry Forda","Cordilheiras Ford","Эдсел-Форд","Ford Ranges","Ford Sıradağları","Dãy Ford","福特山脈","1159104487","رشته کوه فورد","רכסי פורד","хребет Форда","فورڈ رینجز","福特山脈","0106000020E6100000010000000103000000010000001A000000A63EBEE9FFEF61C0CE1E18EDA81A53C0A43EBE6955F961C0CE1E18EDA85253C0A63EBE69551162C0CD1E18ED548D53C0A63EBE6DAA8262C0CC1E18EDFEBF53C0602837D1C09862C0CE2C32E6A2AF53C0A43EBE6DAAA662C0CE1E18ED54A553C0A43EBE6DAAA662C0682A4516559053C0A43EBE6DAAA662C0D01E18EDA88253C0A63EBE69AA6A62C0CC1E18EDFE6753C092B0E9F7AE4A62C0D248FEA1665E53C0323333335B4262C064666666265F53C031333333AB3562C0CCCCCCCC3C5F53C065666666383362C030333333235D53C000000000CA3462C0686666667E5953C08BB319128E3562C024F481EC0F5853C0A73EBE69553562C0D01E18EDFE5753C00700BC9C4A3362C0DC950E1DC94D53C0CDCCCCCC803062C0FCFFFFFFBF4C53C099999999053262C094999999594A53C0109C115E8A3262C0D5F1BFF5074A53C0A53EBE69AA2A62C0CC1E18EDA82253C0A63EBE69AA2662C0D01E18EDFEFF52C0A63EBE69AA0A62C0CE1E18E5A8F252C0A63EBE69AA0A62C0D01E18EDA8F252C0A63EBE69AAEA61C0CC1E18EDA8EA52C0A63EBEE9FFEF61C0CE1E18EDA81A53C0"
105,"Island","Moorea",NULL,"Oceania","Polynesia","5.4","10",5,"Moorea","Q673400","موريا","মুরি","Moorea","Moorea","Moorea","Moorea","Μοορέα","मूरिया","Moorea","Moorea","Moorea","モーレア島","무레아","Moorea","Moorea","Moorea","Муреа","Moorea","Moorea","Moorea","茉莉亞島","1159102675","موئورئا","מוריאה","Муреа","مووریا","茉莉亞島","0106000020E61000000100000001030000000100000016000000A63EBE6DC1B962C0387B6094B38531C0A43EBE6D52BA62C03C7B60946B8C31C0A43EBEEDF8BA62C03C7B6094FB9031C060310D846CBB62C05C8CA83DD89031C0CCCCCCCC5EBC62C060666666868D31C0CDCCCCCCF6BC62C0A0999999198731C0989999992DBD62C0D0CCCCCC4C8031C07254F1FDE2BC62C0E98B0B6DAB7831C0A63EBE6DBBBC62C0447B6094937831C0A63EBE6D7ABC62C0487B6094F37A31C0A63EBE6D5ABC62C03C7B6094937D31C0A53EBEED16BC62C0347B6094A37D31C0A63EBEEDD7BB62C0407B6094937C31C0A63EBE6DC8BB62C0447B6094D37B31C0A63EBE6D88BB62C0487B6094637B31C0A43EBEED51BB62C0407B60945B7A31C0A63EBE6D12BB62C0487B60940B7A31C0A63EBEEDB5BA62C0447B6094D37B31C0F8A55C8FA0BA62C055EF554A0B7931C09A999999E1B962C030333333537931C0BD45E22F3CB962C04633E1280B7C31C0A63EBE6DC1B962C0387B6094B38531C0"
688,"Plain","LLANOS",NULL,"South America",NULL,"3.5","7",2,NULL,"Q141501","سهول اللانوس","লিয়ানোস","Llanos","Llanos","Llanos","Llanos","ΓΙΑΝΟΣ","लानोज","LLANOS","Llanos","Los llanos","リャノ","야노스","Los Llanos","Llanos","Llanos","Льянос","Llanos","Llanos","Llanos","洛斯亞諾斯","1159104219","دشت یانوس","לוס יאנוס","Льянос","لانوس","洛斯亞諾斯","0106000020E6100000010000000103000000010000002C00000096ED4DC9C30F50C00087241587DE1F40487D7CD3352C50C030137EAED1421F4020EE8848706E50C03057ED3FFC611F40E44B0819DE6F50C0C0ECCE65A8621F404A7D7CD3F97850C030137EAEF1661F40589439B8F28750C040F55562FEC91E404E7D7CD373BA50C000137EAE91B81C404AA6072DF4D750C01019BFE6489D18404A7D7CD31FEC50C030137EAE81CE15404E7D7CD395FE50C000137EAE11EF15404C7D7CD3D33C51C050137EAEA1721540487D7CD3869551C010137EAE310B12404C7D7CD38CDB51C04026FC5CA3470D404E7D7CD3B12352C0C026FC5C030905404A7D7CD3794852C0A026FC5C63DC0640109776AD796852C080BDE28B525C0C404A7D7CD3D26D52C04026FC5CA3470D404C7D7CD36D6752C00026FC5C437A0F40ACD2B163D96452C0C03B49A26BD50F4030E0AEC86D2652C0A0E4575B82391440E8A8EEF25B1C52C0E0DED8BF69EB14404E7D7CD30EFB51C050137EAEC137174032C76D361EF551C0B01AB884E94818408AFD26D196F051C060CEA42C2E191940F2CC59ABE9EF51C0D0F74EA548381940183AD491CFEC51C020AC2196EEC619404E7D7CD3FDE851C020137EAE91761A404C7D7CD305F251C050137EAEF1241D40AA7FF4895ED451C0A0E0315C6EFF1E40B89173FF56BD51C078389EA5F63720404A7D7CD352B751C0A0093FD718682040EEB768BF1AB551C0E030C0780874204002AF1DB1D9A551C090A2855515C620404C7D7CD30F5F51C098093FD7D842224008B23979B7E750C0D06C8B7FDA2A23404E7D7CD373BA50C088093FD7D8822340D63C7BAC9EA650C0F0C50404518723404A7D7CD3261A50C080093FD7F8A62340CA31F5089B0F50C090086C9A15AF2340DC150095D5B14FC0B8128B0527D9234094FAF8A67D494FC0A0093FD7480124409CFAF8A6B9FC4EC0A0093FD7E852214098FAF8A6D5AC4FC098093FD7388C204096ED4DC9C30F50C00087241587DE1F40"
27,"Island","St. Matthew I.",NULL,"North America",NULL,"6.7","12",7,"St. Matthew I.","Q1655937","جزيرة سان ماثيو","সেন্ট ম্যাথিউ আইল্যান্ড","St.-Matthew-Insel","St. Matthew Island","Isla de San Mateo","île Saint-Matthieu","Άγιος Ματθαίος Α","सेंट मैथ्यू द्वीप","St. Matthew I.","Pulau St. Matthew","Isola San Matteo","セントマシュー島","세인트 매튜 아일랜드","St. Matthew Island","Wyspy Świetego Mateusza","Ilha de São Mateus","Остров Святого Матвея","St. Matthew Island","St. Matthew Adası","Đảo St. Matthew","聖馬修島","1159102387","جزیره سنت متیو","האי סנט מתיו","Острів Святого Матвія","سینٹ میتھیوز I.","聖馬修島","0106000020E61000000100000001030000000100000013000000DEE00558239D65C0342F64A8F74A4E40CCCCCCCC869B65C0A0999999B9404E4066666666C09765C0303333338B3A4E409A999999D59065C0E0CCCCCC24324E40921FF50EC38D65C061A0EAC8BD324E408B2D58527B8865C0B9B72F096C2A4E40BAB06AF4FD8765C0B75B63CD80284E402C50D352438B65C02EAF75AA42294E4098999999B58C65C0A0999999612A4E40A953A21BA18F65C07AA92B73452A4E40A63EBE6D079465C068C2CF354A2B4E40D93AF777659E65C0E0356704C93A4E4033333333AB9E65C0D0CCCCCC3C3B4E4026DAB056C59E65C07A99B04E583B4E40A43EBE6DD9A165C06CC2CF35F23F4E40A63EBE69D9A165C06CC2CF35F23F4E4065AE3DC7AE9E65C061677B44484C4E405151AA3A499E65C0291873B1C64C4E40DEE00558239D65C0342F64A8F74A4E40"
209,"Range/mtn","Al Jabal al Akhdar",NULL,"Africa",NULL,"6","10",5,NULL,"Q310342","الجبل الأخضر","আল জাবাল অল আখদার","al-Dschabal al-Achdar","Al Jabal Al Akhdar","Al Jabal Al Akhdar","Al Jabal al Akhdar","Αλ Τζαμπάλ αλ Αχντάρ","अल जबल अल अख्दर","Al-Dzsabal al-Akhdar","Al Jabal al Akhdar","Jabal Akhḍar","アル・ジャバル・アル・アフダル山地","알 자발 알 아크다르","Djabal Achdar","Al-Dżabal al-Achdar","Monte Acdar","Аль-Джабал-аль-Акдар","Al Jabal al Akhdar","Cebel Ahdar","Dãy Al Jabal al Akhdar","贾巴阿赫达尔山脉","1730071523","ال جبال ال اخدار","אל הר אל אחדר","Ель-Джабал-ель-Ахдар","ال جبل ال اخدار","艾赫代爾山","0106000020E6100000010000000103000000010000001C000000D00A0EB2B81137406CC2CF3598304040C87BD99F910F3740D8F83B479C304040D00A0EB2202D364060C2CF3548324040E00A0EB28848354060C2CF35AA2A4040F050F3D1A8CD34400C153B4AE3004040C80A0EB288C93440D8849F6BF8FE3F40E89731E684C3344000544A4894FB3F40E00A0EB2582A3440D0849F6B38A53F4098EB83C123FF33403865F148CADF3F40B86D13AFEBF8334018F3B57238E83F40D80A0EB2E0F53340C0849F6B58EC3F40C0A0D4D7D77234401E63E7C8173D4040AEB73CA1BB7434408D387212A83D4040A98F018D0B133540F5E57A1E48634040C099999999513540283333338B634040A0999999B96C3540383333334B664040E0CCCCCCCCA2354090999999F9774040E0CCCCCCACB8354028333333A378404060666666E6D63540606666664E74404090999999F92F36409899999989754040503333333357364000000000A0704040100000000086364008000000A0654040C0CCCCCC0CC1364098999999C95E4040A4F0C58B8AC536400BCC07230D5E4040E8978272BECC36402C033692A85C4040D00A0EB2E005374068C2CF359C514040506B09555B0D3740341D9AF8C23C4040D00A0EB2B81137406CC2CF3598304040"
152,"Island","Nias",NULL,"Asia","Malay Archipelago","5.4","10",5,"Nias","Q505707","نياس","নিয়ারি","Nias","Nias","Nías","Nias","Νίας","नियास","Nias","Pulau Nias","Nias","ニアス島","니아스섬","Nias","Nias","Nias","Ниас","Nias","Nias","Nias","尼亞斯島","1159102783","نیاس","ניאס","Ніас","نیاس","尼亞斯島","0106000020E6100000010000000103000000010000006D000000B282832C0C595840004CF8B94629F83FECA6F3D3A5595840256DC819BD35F83F3696EEA10D5C58401F5B5BCB37DAF73FB682832C145C5840404CF8B9C6C5F73FB682832C405C5840804CF8B986B1F73FB682832C9E5C5840004CF8B906A6F73FD286078D525D58402C77D3BCEDA9F73F9C999999D15E5840000000000071F73FF69CAE92386758408120361925B7F43FB282832C74675840C04CF8B98683F43FB282832C626C5840804CF8B9C6FEF23F2C621395AF6C5840C76AF72D41F1F23FA4999999B16C5840009A999999F0F23FF8E25517B66C584039473F1E1EF0F23FB682832C9A6D5840404DF8B946C8F23FE8C10AEDA36E58400B6C1A6614BBF23FCCCCCCCC54725840009C99999955F23F8A80DFC075745840E22AF7AAB7C0F13FB282832CE0745840C04CF8B9468FF13FB682832C14755840004CF8B94655F13FB282832C84755840004DF8B98623F13FB282832C92765840404CF8B9060FF13F6FD43CF80D7758408800EE83400BF13F70666666CE79584000CECCCCCC4AF03FC8CCCCCCA47B5840006A6666662AEF3FB682832CB87A5840D776EA7A44C7ED3FB682832CB87A5840809AF0738DF2ED3FB282832CAE7958400099F0730D07ED3FB282832C7C7958408098F0730D0CEC3FCB342A6D947958403E53F3F3B189EB3F40F4C2BDE37858408232CCC61916E83FB682832C9A785840809AF0730D05E73F2F384F1995785840750C464ED08CE63F5A61A984197858405BAB0AE1CA22E43F4BD890B00E785840CA19D263E515E43FA499999981745840000000000010E23FABCA3A42E87258409250FAE5773FE23FB282832C8C715840809AF0730DC4E23FCA82CFF82E71584038A05C25A472E23F69ACD55A826E58409BE1ED0208C2E23FB282832C7C6E5840809AF0730DC4E23F18B3A5827B6E5840CA8A3033D3C2E23FE33A55A5EB6B584094A5B080E10EE33FB3D231CFC56B58407C8BDB33441CE33F4DA513D7BE6B58408DE27A693E87E33FB682832C366C58408098F0730D03E43FB282832CC06B5840009BF0738D9DE43F2A7EC24D7B6B58406B152BAA43C2E43FD369859F1D6A5840B905319C1C6FE63FB282832C2E6A58400098F0738DEEE63FB282832CE06958400098F0730D46E73FB682832C72695840809AF0738D99E73FB282832C826858400099F0730DA9E83FB682832C546858400099F0730D06E93FB282832C486758400098F0738D64EA3FB282832CC06458400098F0730D96EB3F2DB783C43D625840E29B16087758EC3F1317B43D395F5840E51F8FEA8C7BED3FB282832C785F5840009BF0738DE4ED3FB682832CAC5E58400098F0738D3AEE3FB282832C445D58400099F0738D5FEE3FB682832CD65B5840009AF0738D67EE3F1F9A53BBF059584029D2E232E84EEE3F0473FEE3E1585840E3B292F99DE6EF3FB282832CCC585840404DF8B9C651F03FB282832CC6575840404CF8B986F9F03FD7091EC9C354584027836187BB32F23F02717D328D54584034DFEB4C764BF23FB282832CFA535840004DF8B9C6B0F23FB282832CB8535840404CF8B906D1F23FB282832C1E535840804DF8B946F3F23F9D6263AB185358401440BF6839F4F23F04000000005358400067666666FFF23FFAD5D4869B515840961C31F8E460F33FB282832C5C515840C04CF8B94693F33FB282832C6E505840804CF8B986C7F33FB682832C38505840004CF8B946F8F33FB282832C1A505840004DF8B9862AF43FB282832CD04F5840804CF8B9C64AF43FB682832C644F5840004DF8B9C660F43FB282832CE84E5840404CF8B98674F43FB282832C404E5840404DF8B98687F43FB682832C9A4D5840804CF8B98691F43F0580E0E1114D5840FC8E18CB999EF43FDADE6A06E14B584091C2B173FAF1F43FB282832C404B5840004CF8B94654F53FB682832CC04A5840C04CF8B90681F53FB682832C36485840404DF8B90624F63FB282832CDC465840404CF8B94662F63FA54E92127C4658409EF46031AA6BF63FA49999991145584000CECCCCCCCEF63F009E5DE8D64958401EF85E095ECBF63FB282832C444A5840C04CF8B906B6F63FB682832C884A5840404DF8B94697F63FB282832CDA4A5840404DF8B9C6ACF63FB682832C984B5840004CF8B9C6AEF63FB682832C284D5840404DF8B9C6A3F63FB282832C164F5840C04CF8B9C6AFF63FB282832C7C505840404DF8B906CCF63FB282832CBE515840004DF8B986FFF63FB282832C88545840404CF8B9C69AF73FB282832C28555840004DF8B9C6CDF73FB282832C6C555840404DF8B94605F83F83EA86EB62555840C92BD87E7919F83F00000000F0555840006666666672F83F04000000C856584000CECCCCCCA2F83FFD15E042C85658407AC86ADCC2A2F83FB282832CF6575840004CF8B9C650F83FB282832C0C595840004CF8B94629F83F"
